geoid,geoid20,year,denom_total_pop,american_indian_native_count,american_indian_native_pct,asian_count,asian_pct,black_count,black_pct,latino_count,latino_pct,native_hawaiian_other_count,native_hawaiian_other_pct,other_race_count,other_race_pct,pop_two_or_more_count,pop_two_or_more_pct,white_count,white_pct
1400000US06037101110,6037101110,2020,3923,2,0.050981391,406,10.349222,17,0.43334183,963,24.547541,3,0.076472089,9,0.22941627,130,3.3137906,2393,60.999237
1400000US06037101122,6037101122,2020,4119,0,0,426,10.342316,148,3.5931051,182,4.4185481,0,0,0,0,204,4.9526582,3159,76.693375
1400000US06037101220,6037101220,2020,3775,0,0,390,10.331126,94,2.4900663,1521,40.291389,0,0,6,0.1589404,105,2.7814569,1659,43.947021
1400000US06037101221,6037101221,2020,3787,0,0,267,7.0504355,213,5.624505,1182,31.212042,0,0,99,2.6142066,0,0,2026,53.498814
1400000US06037101222,6037101222,2020,2717,0,0,65,2.3923445,4,0.14722119,1182,43.503864,0,0,0,0,0,0,1466,53.95657
1400000US06037101300,6037101300,2020,3741,0,0,139,3.715584,172,4.5977011,360,9.6230955,0,0,0,0,61,1.6305801,3009,80.433037
1400000US06037101400,6037101400,2020,3246,0,0,295,9.0881081,13,0.40049291,512,15.773259,0,0,0,0,169,5.206408,2257,69.531731
1400000US06037102103,6037102103,2020,1920,0,0,242,12.604167,21,1.09375,172,8.958333,0,0,20,1.0416666,25,1.3020834,1440,75
1400000US06037102104,6037102104,2020,4187,0,0,482,11.511823,83,1.9823263,519,12.39551,22,0.52543586,0,0,200,4.7766895,2881,68.808212
1400000US06037102105,6037102105,2020,1797,37,2.0589871,76,4.2292709,10,0.55648303,1207,67.167503,9,0.5008347,0,0,44,2.4485254,414,23.038397
1400000US06037102107,6037102107,2020,4082,0,0,419,10.264576,63,1.5433611,962,23.566879,0,0,0,0,119,2.9152377,2519,61.709946
1400000US06037103101,6037103101,2020,2484,0,0,159,6.4009662,19,0.76489532,581,23.389694,0,0,0,0,52,2.0933979,1673,67.351044
1400000US06037103102,6037103102,2020,4716,0,0,467,9.9024601,0,0,1292,27.396099,0,0,49,1.0390161,110,2.3324852,2798,59.329941
1400000US06037103201,6037103201,2020,3961,0,0,371,9.3663216,42,1.0603383,1038,26.205503,0,0,0,0,83,2.0954304,2427,61.272408
1400000US06037103202,6037103202,2020,2569,0,0,122,4.7489295,36,1.4013234,833,32.425068,0,0,580,22.576878,11,0.42818218,987,38.419617
1400000US06037103300,6037103300,2020,3726,44,1.180891,300,8.0515299,4,0.10735373,452,12.130972,0,0,0,0,106,2.8448739,2820,75.68438
1400000US06037103401,6037103401,2020,2596,5,0.19260401,432,16.640985,0,0,264,10.169492,0,0,29,1.1171032,83,3.1972265,1783,68.682587
1400000US06037103402,6037103402,2020,3795,0,0,683,17.997364,80,2.108037,803,21.15942,0,0,2,0.052700922,105,2.7667985,2122,55.91568
1400000US06037104103,6037104103,2020,3969,0,0,300,7.558579,540,13.605442,2636,66.414711,0,0,5,0.12597631,85,2.1415973,403,10.153691
1400000US06037104105,6037104105,2020,5711,13,0.22763088,304,5.323061,240,4.2024164,4716,82.577484,0,0,158,2.7665908,49,0.85799336,231,4.0448256
1400000US06037104108,6037104108,2020,5551,0,0,96,1.7294182,275,4.9540625,4838,87.155464,27,0.48639885,0,0,41,0.73860568,274,4.9360476
1400000US06037104124,6037104124,2020,3843,6,0.15612802,365,9.4977884,519,13.505075,1833,47.697113,0,0,0,0,19,0.49440542,1101,28.649492
1400000US06037104201,6037104201,2020,4718,25,0.52988553,0,0,430,9.1140318,4210,89.232727,0,0,0,0,0,0,53,1.1233573
1400000US06037104203,6037104203,2020,5420,0,0,40,0.73800737,349,6.4391146,4930,90.959412,0,0,23,0.42435426,0,0,78,1.4391143
1400000US06037104204,6037104204,2020,3684,36,0.97719872,193,5.2388706,166,4.5059719,2905,78.854507,0,0,0,0,64,1.7372421,320,8.6862106
1400000US06037104310,6037104310,2020,4961,0,0,16,0.32251564,68,1.3706914,4669,94.11409,0,0,101,2.0358799,0,0,107,2.1568232
1400000US06037104321,6037104321,2020,3128,0,0,28,0.89514065,130,4.1560102,2870,91.751915,0,0,36,1.1508951,20,0.63938618,44,1.4066496
1400000US06037104322,6037104322,2020,2005,2,0.099750623,23,1.1471322,49,2.4438903,1848,92.169579,0,0,0,0,21,1.0473815,62,3.0922694
1400000US06037104401,6037104401,2020,3134,0,0,39,1.2444161,21,0.67007017,3021,96.394386,0,0,0,0,0,0,53,1.6911296
1400000US06037104403,6037104403,2020,2723,0,0,128,4.7006979,0,0,2595,95.299301,0,0,0,0,0,0,0,0
1400000US06037104404,6037104404,2020,3592,0,0,97,2.7004454,0,0,3428,95.434296,0,0,0,0,0,0,67,1.8652561
1400000US06037104500,6037104500,2020,2866,6,0.20935102,0,0,1,0.034891836,2826,98.604324,0,0,7,0.24424285,5,0.17445917,21,0.73272854
1400000US06037104610,6037104610,2020,3473,10,0.2879355,0,0,0,0,3385,97.466171,0,0,0,0,13,0.37431616,65,1.8715807
1400000US06037104620,6037104620,2020,3559,0,0,0,0,10,0.28097782,3476,97.667885,0,0,0,0,0,0,73,2.0511379
1400000US06037104701,6037104701,2020,3957,0,0,13,0.32853171,80,2.0217335,3788,95.729088,24,0.60652012,0,0,0,0,52,1.3141268
1400000US06037104703,6037104703,2020,2410,0,0,0,0,176,7.3029046,2064,85.64315,0,0,0,0,15,0.62240666,155,6.4315352
1400000US06037104704,6037104704,2020,4525,0,0,68,1.5027624,395,8.7292814,3684,81.414368,0,0,0,0,119,2.6298342,259,5.7237568
1400000US06037104821,6037104821,2020,3268,0,0,95,2.9069767,69,2.1113832,2959,90.544678,0,0,0,0,35,1.0709914,110,3.365973
1400000US06037104822,6037104822,2020,2566,0,0,151,5.8846455,8,0.31176928,2309,89.984413,0,0,0,0,23,0.89633673,75,2.922837
1400000US06037104823,6037104823,2020,3526,0,0,362,10.266591,0,0,3083,87.436188,0,0,0,0,0,0,81,2.2972207
1400000US06037104824,6037104824,2020,2639,60,2.2735884,42,1.591512,19,0.71996969,2483,94.088669,0,0,0,0,0,0,35,1.32626
1400000US06037106010,6037106010,2020,3444,0,0,82,2.3809524,111,3.2229965,2403,69.773521,0,0,0,0,108,3.1358886,740,21.486643
