geoid,geoid20,year,denom_total_pop,american_indian_native_count,american_indian_native_pct,asian_count,asian_pct,black_count,black_pct,latino_count,latino_pct,native_hawaiian_other_count,native_hawaiian_other_pct,other_race_count,other_race_pct,pop_two_or_more_count,pop_two_or_more_pct,white_count,white_pct
1400000US06037228420,6037228420,2020,3337,0,0.0,0,0.0,216,6.4728799,3116,93.377281,0,0.0,0,0.0,5,0.14983518,0,0.0
1400000US06037228500,6037228500,2020,5196,9,0.17321016,0,0.0,904,17.397999,4283,82.428795,0,0.0,0,0.0,0,0.0,0,0.0
1400000US06037229300,6037229300,2020,5846,10,0.17105713,0,0.0,275,4.704071,5265,90.061577,7,0.11973999,14,0.23947999,45,0.76975709,230,3.934314
1400000US06037229410,6037229410,2020,3948,0,0.0,10,0.2532928,147,3.7234042,3716,94.123604,0,0.0,0,0.0,21,0.53191489,54,1.3677812
1400000US06037231100,6037231100,2020,3374,0,0.0,54,1.6004742,525,15.560166,2451,72.643745,0,0.0,0,0.0,100,2.9638412,244,7.2317724
1400000US06037231220,6037231220,2020,4482,0,0.0,319,7.1173582,1163,25.948236,2874,64.123161,0,0.0,8,0.17849174,59,1.3163766,59,1.3163766
1400000US06037231710,6037231710,2020,4135,10,0.24183796,2,0.048367593,429,10.374849,3613,87.37606,0,0.0,53,1.2817413,0,0.0,28,0.67714632
1400000US06037231720,6037231720,2020,5016,0,0.0,81,1.6148325,584,11.642743,4224,84.210526,0,0.0,0,0.0,50,0.9968102,77,1.5350877
1400000US06037231800,6037231800,2020,5720,0,0.0,0,0.0,442,7.7272725,5089,88.968529,0,0.0,19,0.33216783,170,2.972028,0,0.0
1400000US06037231901,6037231901,2020,3137,0,0.0,0,0.0,294,9.3720112,2829,90.181702,0,0.0,0,0.0,0,0.0,14,0.44628626
1400000US06037231902,6037231902,2020,3261,18,0.55197793,16,0.49064705,200,6.1330881,2961,90.800369,0,0.0,0,0.0,61,1.8705919,5,0.1533272
1400000US06037232110,6037232110,2020,2920,11,0.37671232,18,0.61643833,282,9.6575346,2593,88.801369,0,0.0,0,0.0,8,0.2739726,8,0.2739726
1400000US06037232120,6037232120,2020,5457,20,0.36650175,92,1.685908,1192,21.843504,4097,75.077881,0,0.0,0,0.0,29,0.5314275,27,0.49477735
1400000US06037232701,6037232701,2020,2464,0,0.0,0,0.0,528,21.428572,1745,70.819809,0,0.0,15,0.60876626,102,4.1396103,74,3.0032468
1400000US06037232702,6037232702,2020,4290,0,0.0,73,1.7016317,348,8.1118879,3810,88.811188,0,0.0,13,0.30303031,0,0.0,46,1.0722611
1400000US06037232800,6037232800,2020,4568,13,0.28458846,0,0.0,589,12.894046,3857,84.435204,0,0.0,40,0.87565672,51,1.1164623,18,0.39404553
1400000US06037237101,6037237101,2020,4099,0,0.0,69,1.6833375,975,23.786289,2980,72.700661,0,0.0,0,0.0,55,1.3417907,20,0.48792389
1400000US06037237102,6037237102,2020,4054,0,0.0,29,0.71534288,777,19.166256,3202,78.983719,0,0.0,0,0.0,7,0.17266896,39,0.96201283
1400000US06037237500,6037237500,2020,2728,0,0.0,15,0.54985338,691,25.329912,1979,72.543991,0,0.0,0,0.0,5,0.18328446,38,1.3929619
1400000US06037237600,6037237600,2020,3914,15,0.38323966,23,0.58763415,734,18.753193,3112,79.509453,0,0.0,0,0.0,10,0.2554931,20,0.51098621
