,FIPS,Walkability,Percentage of without vehicle,geometry,Percentage of public transportation
0,06037106510,-3.352716,0.4,"POLYGON ((-118.507376253318 34.3346298724903, -118.50401925334 34.3371618730691, -118.492730250975 34.3306278735568, -118.48441524979 34.3302838736261, -118.468875246788 34.3300958740805, -118.469053247271 34.329762874378, -118.469545246624 34.3235938737454, -118.469289245716 34.3226988739261, -118.463720245265 34.3183988737689, -118.473020245721 34.3101128721971, -118.476555246497 34.3127518725225, -118.481077247175 34.3136948722992, -118.4895132487 34.3151068713202, -118.490605249031 34.3166058718407, -118.492869250338 34.3189188715624, -118.496123250258 34.3210748717098, -118.499912251629 34.3232208722467, -118.5033432527 34.3257748716893, -118.504509252076 34.3272848720282, -118.506693253714 34.3320948723659, -118.50835325352 34.3338948727559, -118.507376253318 34.3346298724903))",5.85
1,06037106406,-1.288183,3.5,"POLYGON ((-118.469545246624 34.3235938737454, -118.469053247271 34.329762874378, -118.468875246788 34.3300958740805, -118.459676245546 34.3300248747273, -118.458746244782 34.3279128750126, -118.458761245186 34.3257158748035, -118.457514244655 34.3233938747379, -118.450591243495 34.3233248747702, -118.446849242471 34.3217908745118, -118.447775242294 34.3209658749329, -118.450757243121 34.3183098739526, -118.456722242859 34.3129958736876, -118.460223244416 34.3156988732329, -118.463720245265 34.3183988737689, -118.469289245716 34.3226988739261, -118.469545246624 34.3235938737454))",3.95
2,06037106010,-2.250198,2.2,"POLYGON ((-118.459676245546 34.3300248747273, -118.445924243339 34.3299428756778, -118.430048240409 34.329883877133, -118.429424239345 34.3263948760925, -118.429970239531 34.3252368759603, -118.431860239586 34.3235008763359, -118.434823239908 34.3208658756146, -118.439920241243 34.316327874459, -118.446849242471 34.3217908745118, -118.450591243495 34.3233248747702, -118.457514244655 34.3233938747379, -118.458761245186 34.3257158748035, -118.458746244782 34.3279128750126, -118.459676245546 34.3300248747273))",1.11
3,06037106020,-3.232182,0.0,"POLYGON ((-118.439920241243 34.316327874459, -118.434823239908 34.3208658756146, -118.431860239586 34.3235008763359, -118.429970239531 34.3252368759603, -118.429424239345 34.3263948760925, -118.430048240409 34.329883877133, -118.419995238332 34.3298838777151, -118.41902223823 34.3298858771244, -118.420753238663 34.3277278768002, -118.420763238584 34.325577876858, -118.417152237814 34.3249528769943, -118.419125237967 34.3231938767562, -118.420369238476 34.3220868762492, -118.42485423872 34.3181038754213, -118.427834238716 34.315452875176, -118.432852239392 34.3109798745772, -118.436422240111 34.3136718746201, -118.439920241243 34.316327874459))",5.15
4,06037106111,-2.51424,3.2,"POLYGON ((-118.415066236715 34.3209858762327, -118.416796237672 34.3223218762469, -118.419125237967 34.3231938767562, -118.417152237814 34.3249528769943, -118.413603236765 34.3246948774226, -118.412219237134 34.3259088774927, -118.413597237559 34.327412877458, -118.413591237766 34.329885877486, -118.405214236226 34.3298158782638, -118.404924234974 34.3220818774996, -118.402732235514 34.3213038772567, -118.400675234221 34.3195468770884, -118.39690323357 34.3198188773051, -118.396542233189 34.3174238772101, -118.399731233756 34.3164658766716, -118.400798234436 34.3164408766728, -118.400802234675 34.3163288772891, -118.400914234262 34.3158208767691, -118.402845234079 34.3142268767877, -118.406734234518 34.3123398763539, -118.407776234837 34.3099378760216, -118.412258235059 34.3093728759485, -118.413633235929 34.3084798752263, -118.421351237564 34.3154048754236, -118.415066236715 34.3209858762327))",2.48
5,06037106112,-2.183139,1.2,"POLYGON ((-118.42485423872 34.3181038754213, -118.420369238476 34.3220868762492, -118.419125237967 34.3231938767562, -118.416796237672 34.3223218762469, -118.415066236715 34.3209858762327, -118.421351237564 34.3154048754236, -118.413633235929 34.3084798752263, -118.412258235059 34.3093728759485, -118.407776234837 34.3099378760216, -118.406734234518 34.3123398763539, -118.402845234079 34.3142268767877, -118.400914234262 34.3158208767691, -118.400802234675 34.3163288772891, -118.400916234223 34.310031876071, -118.403028234132 34.3093938758148, -118.403893234758 34.3100548764818, -118.403763234366 34.307921875482, -118.405481234372 34.3079168760337, -118.405612233238 34.300730875377, -118.401064233204 34.3006748755714, -118.401217232175 34.2970698746877, -118.403472232717 34.2971108746076, -118.403520233326 34.293517874029, -118.409084233332 34.2936638737506, -118.408972233647 34.2918128738985, -118.410306233648 34.2910758734388, -118.409412233895 34.289016873788, -118.407502232682 34.2871888729538, -118.408155233151 34.2868258731923, -118.415679234883 34.2939368733531, -118.41813523546 34.2962498737839, -118.417151235178 34.2969568737049, -118.41357923492 34.2995738744158, -118.413005235218 34.2999088744558, -118.411232234942 34.3007288745006, -118.416898236332 34.3060958748959, -118.418565236205 34.3076718750507, -118.419700236779 34.3068448748233, -118.422072237653 34.3085448750874, -118.420785236562 34.3096928752475, -118.424337238142 34.3127488753177, -118.427834238716 34.315452875176, -118.42485423872 34.3181038754213))",2.96
6,06037106405,-2.359235,5.0,"POLYGON ((-118.456722242859 34.3129958736876, -118.450757243121 34.3183098739526, -118.447775242294 34.3209658749329, -118.446849242471 34.3217908745118, -118.439920241243 34.316327874459, -118.440786240525 34.3155568741101, -118.443766240907 34.3129028741468, -118.449725241655 34.3075918731197, -118.453223242954 34.3102938731893, -118.456722242859 34.3129958736876))",3.0
7,06037980022,-5.310055,,"POLYGON ((-118.50266125106 34.3082878706063, -118.499888250095 34.3142628708003, -118.497998249996 34.3167628714795, -118.496267250894 34.3208288718929, -118.496123250258 34.3210748717098, -118.492869250338 34.3189188715624, -118.490605249031 34.3166058718407, -118.4895132487 34.3151068713202, -118.485173248286 34.3093118715296, -118.479538246469 34.3033768713003, -118.469886243869 34.2934618701749, -118.467992243168 34.2916258707256, -118.467794243836 34.2911668702969, -118.467401243054 34.2891078701026, -118.468057242471 34.285530869327, -118.469488242691 34.285402869275, -118.469425242762 34.2846438690936, -118.47188424396 34.2848258694157, -118.473591243881 34.2835168688852, -118.474422243811 34.2791078687785, -118.475925243599 34.2791178685409, -118.480294243926 34.279145868106, -118.484663244834 34.2791738678127, -118.484685245036 34.279632867675, -118.483609245133 34.2800468685705, -118.483218244859 34.2816178682106, -118.483812245255 34.2829978681622, -118.483284245195 34.2845448689009, -118.483533245812 34.2867628688582, -118.484920245712 34.2875638689239, -118.488972247187 34.2920758691899, -118.490041246876 34.2927408692639, -118.491223247459 34.2950758698446, -118.492564248062 34.295328868983, -118.494502248276 34.2979508695035, -118.493861247924 34.298685869462, -118.49497524845 34.3005908697667, -118.496431249042 34.300826869971, -118.498206249682 34.3036878696934, -118.500932249884 34.3043798698437, -118.502496250678 34.3071538696909, -118.50266125106 34.3082878706063))",0.0
8,06037106520,-2.622583,2.0,"POLYGON ((-118.473020245721 34.3101128721971, -118.463720245265 34.3183988737689, -118.460223244416 34.3156988732329, -118.456722242859 34.3129958736876, -118.453223242954 34.3102938731893, -118.449725241655 34.3075918731197, -118.452708241963 34.3049348724782, -118.454193241912 34.3036108722786, -118.455681241953 34.3022838717891, -118.459005242185 34.2993228716151, -118.462276243547 34.3018568720866, -118.469337245227 34.3073008723183, -118.473020245721 34.3101128721971))",2.43
9,06037106408,-1.440566,5.2,"POLYGON ((-118.440786240525 34.3155568741101, -118.439920241243 34.316327874459, -118.436422240111 34.3136718746201, -118.437292240545 34.3128528742882, -118.438783240586 34.3115258741696, -118.440273240456 34.3101988735331, -118.443766240907 34.3129028741468, -118.440786240525 34.3155568741101))",2.52
