CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
06037101110,California,Los Angeles County,1,4731,1641,0,88,1.86,0,0,0,0,0,0,16.1,70726,0,1,0,1,0,0,0,0,115,3462,115,37,1205,37,3462,73.17,1205,25.46,684,14.46,282,5.97,2486,52.55,54,1.14,313,6.61,3,0.06,16,0.34,590,12.48,892,18.85,87,5.30,127,7.71,115,2.42,37,0.77,18,0.39,12,0.26,91,1.91,0,0.00,6,0.13,0,0.00,0,0.00,18,0.37,28,0.60,3,0.17,5,0.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1595,931,480,3260,81,490,4,29,867,1324,123,167
06037101122,California,Los Angeles County,1,3664,1325,0,0,0.00,0,0,0,0,0,0,3.4,100213,1,1,1,1,1,0,0,0,1704,3661,1704,137,295,137,3661,99.91,295,8.06,645,17.62,492,13.42,2807,76.61,28,0.76,500,13.64,1,0.03,14,0.38,311,8.49,574,15.67,7,0.53,8,0.64,1704,46.50,137,3.74,292,7.96,260,7.09,1233,33.65,16,0.44,310,8.46,1,0.03,5,0.15,139,3.79,212,5.78,3,0.22,4,0.30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,261,646,492,2810,28,500,1,14,311,575,7,8
06037101210,California,Los Angeles County,1,5990,2150,0,55,0.92,0,1,0,1,1,1,33.0,32052,0,1,0,1,0,0,0,1,NULL,5517,NULL,NULL,3317,NULL,5517,92.11,3317,55.37,1259,21.02,470,7.84,3670,61.28,211,3.53,413,6.90,4,0.06,36,0.60,1182,19.74,2064,34.46,248,11.55,230,10.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3651,1376,507,4000,218,459,4,40,1269,2219,287,269
06037101220,California,Los Angeles County,1,3363,1246,0,2,0.06,0,1,0,0,0,1,15.0,46026,0,1,0,1,0,0,0,0,NULL,2587,NULL,NULL,1249,NULL,2587,76.94,1249,37.14,608,18.06,248,7.36,1746,51.91,35,1.05,205,6.09,2,0.06,23,0.69,577,17.15,957,28.46,73,5.83,88,7.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1683,756,391,2254,45,277,3,30,754,1272,113,122
06037101300,California,Los Angeles County,1,4199,1542,0,49,1.17,0,0,0,0,0,0,9.2,113906,0,1,0,1,0,0,0,0,15,739,15,2,113,2,739,17.61,113,2.69,106,2.53,122,2.90,617,14.69,14,0.33,73,1.74,0,0.00,1,0.02,35,0.83,98,2.33,9,0.61,12,0.80,15,0.37,2,0.04,2,0.04,3,0.06,14,0.34,0,0.00,1,0.03,0,0.00,0,0.00,0,0.00,2,0.04,0,0.01,0,0.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,925,704,752,3554,47,322,3,7,266,503,66,61
06037101400,California,Los Angeles County,1,3903,1498,0,2,0.05,0,0,0,0,0,0,8.4,80000,0,1,0,1,0,0,0,0,323,2481,323,57,599,57,2481,63.57,599,15.35,447,11.44,332,8.50,1908,48.88,34,0.87,245,6.28,0,0.00,9,0.22,285,7.31,448,11.48,82,5.44,48,3.21,323,8.28,57,1.46,56,1.42,49,1.26,260,6.67,3,0.07,24,0.61,0,0.00,1,0.04,35,0.90,50,1.28,4,0.25,6,0.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1065,682,562,3016,49,350,1,19,468,721,121,75
06037102103,California,Los Angeles County,1,1740,630,0,0,0.00,0,0,0,0,0,0,8.8,79514,0,1,0,1,0,0,0,0,256,1301,256,36,184,36,1301,74.79,184,10.60,200,11.48,218,12.54,1012,58.16,15,0.88,124,7.14,0,0.02,1,0.08,148,8.51,271,15.59,5,0.85,8,1.28,256,14.70,36,2.08,41,2.35,46,2.63,205,11.78,3,0.16,27,1.57,0,0.00,0,0.00,21,1.19,41,2.34,1,0.17,2,0.26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,251,269,279,1337,23,171,2,3,204,375,8,12
06037102104,California,Los Angeles County,1,3648,1279,0,212,5.81,0,0,0,0,0,0,12.7,71091,1,1,1,1,1,0,0,0,3576,3648,3576,1201,1228,1201,3648,100.00,1228,33.67,556,15.24,526,14.42,2794,76.59,90,2.47,475,13.02,3,0.08,8,0.22,278,7.62,533,14.61,84,6.56,95,7.40,3576,98.03,1201,32.92,547,14.98,514,14.10,2740,75.12,89,2.45,463,12.70,3,0.08,8,0.22,272,7.47,519,14.24,83,6.47,93,7.27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1113,556,526,2794,90,475,3,8,278,533,83,94
06037102105,California,Los Angeles County,1,1731,527,0,0,0.00,1,1,1,0,0,1,17.3,50500,1,1,1,1,1,0,0,0,1731,1731,1731,760,760,760,1731,100.00,760,43.92,393,22.70,167,9.65,1040,60.08,16,0.92,141,8.15,0,0.00,7,0.40,527,30.44,1136,65.63,8,1.43,48,9.06,1731,100.00,760,43.92,393,22.70,167,9.65,1040,60.08,16,0.92,141,8.15,0,0.00,7,0.40,527,30.44,1136,65.63,8,1.43,48,9.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,810,393,167,1040,16,141,0,7,527,1136,8,51
06037102107,California,Los Angeles County,1,3851,1269,0,294,7.63,0,0,0,0,0,0,7.9,105905,1,1,1,1,1,0,0,0,1064,2536,1064,279,659,279,2536,65.85,659,17.11,531,13.80,367,9.52,1804,46.84,69,1.78,188,4.87,11,0.29,22,0.56,443,11.50,719,18.67,23,1.80,80,6.33,1064,27.64,279,7.24,236,6.14,132,3.43,737,19.15,30,0.77,80,2.07,5,0.13,8,0.21,205,5.32,328,8.51,11,0.83,33,2.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1133,714,779,2790,103,282,14,28,634,1039,51,119
